instr.;opcode;dez;mnemonic;register;needs ea;read;write;addr.mode;H;N;Z;V;C;desc;category
ABX;$3a;58;ABX;;;;;INHERENT;-;-;-;-;-;X = B+X (Unsigned);Index/Stack Pointer Instructions
ADC;$99;153;ADCA;REG_A;;BYTE;;DIRECT;a;a;a;a;a;A = A+M+C;8-Bit Accumulator and Memory Instructions
ADC;$b9;185;ADCA;REG_A;;BYTE;;EXTENDED;a;a;a;a;a;A = A+M+C;8-Bit Accumulator and Memory Instructions
ADC;$89;137;ADCA;REG_A;;BYTE;;IMMEDIATE;a;a;a;a;a;A = A+M+C;8-Bit Accumulator and Memory Instructions
ADC;$a9;169;ADCA;REG_A;;BYTE;;INDEXED;a;a;a;a;a;A = A+M+C;8-Bit Accumulator and Memory Instructions
ADC;$d9;217;ADCB;REG_B;;BYTE;;DIRECT;a;a;a;a;a;B = B+M+C;8-Bit Accumulator and Memory Instructions
ADC;$f9;249;ADCB;REG_B;;BYTE;;EXTENDED;a;a;a;a;a;B = B+M+C;8-Bit Accumulator and Memory Instructions
ADC;$c9;201;ADCB;REG_B;;BYTE;;IMMEDIATE;a;a;a;a;a;B = B+M+C;8-Bit Accumulator and Memory Instructions
ADC;$e9;233;ADCB;REG_B;;BYTE;;INDEXED;a;a;a;a;a;B = B+M+C;8-Bit Accumulator and Memory Instructions
ADD;$9b;155;ADDA;REG_A;;BYTE;;DIRECT;a;a;a;a;a;A = A+M;8-Bit Accumulator and Memory Instructions
ADD;$bb;187;ADDA;REG_A;;BYTE;;EXTENDED;a;a;a;a;a;A = A+M;8-Bit Accumulator and Memory Instructions
ADD;$8b;139;ADDA;REG_A;;BYTE;;IMMEDIATE;a;a;a;a;a;A = A+M;8-Bit Accumulator and Memory Instructions
ADD;$ab;171;ADDA;REG_A;;BYTE;;INDEXED;a;a;a;a;a;A = A+M;8-Bit Accumulator and Memory Instructions
ADD;$db;219;ADDB;REG_B;;BYTE;;DIRECT;a;a;a;a;a;B = B+M;8-Bit Accumulator and Memory Instructions
ADD;$fb;251;ADDB;REG_B;;BYTE;;EXTENDED;a;a;a;a;a;B = B+M;8-Bit Accumulator and Memory Instructions
ADD;$cb;203;ADDB;REG_B;;BYTE;;IMMEDIATE;a;a;a;a;a;B = B+M;8-Bit Accumulator and Memory Instructions
ADD;$eb;235;ADDB;REG_B;;BYTE;;INDEXED;a;a;a;a;a;B = B+M;8-Bit Accumulator and Memory Instructions
ADD;$d3;211;ADDD;REG_D;;WORD;;DIRECT_WORD;-;a;a;a;a;D = D+M:M+1;16-Bit Accumulator and Memory Instructions Instruction
ADD;$f3;243;ADDD;REG_D;;WORD;;EXTENDED_WORD;-;a;a;a;a;D = D+M:M+1;16-Bit Accumulator and Memory Instructions Instruction
ADD;$c3;195;ADDD;REG_D;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;D = D+M:M+1;16-Bit Accumulator and Memory Instructions Instruction
ADD;$e3;227;ADDD;REG_D;;WORD;;INDEXED_WORD;-;a;a;a;a;D = D+M:M+1;16-Bit Accumulator and Memory Instructions Instruction
AND;$94;148;ANDA;REG_A;;BYTE;;DIRECT;-;a;a;0;-;A = A && M;8-Bit Accumulator and Memory Instructions
AND;$b4;180;ANDA;REG_A;;BYTE;;EXTENDED;-;a;a;0;-;A = A && M;8-Bit Accumulator and Memory Instructions
AND;$84;132;ANDA;REG_A;;BYTE;;IMMEDIATE;-;a;a;0;-;A = A && M;8-Bit Accumulator and Memory Instructions
AND;$a4;164;ANDA;REG_A;;BYTE;;INDEXED;-;a;a;0;-;A = A && M;8-Bit Accumulator and Memory Instructions
AND;$d4;212;ANDB;REG_B;;BYTE;;DIRECT;-;a;a;0;-;B = B && M;8-Bit Accumulator and Memory Instructions
AND;$f4;244;ANDB;REG_B;;BYTE;;EXTENDED;-;a;a;0;-;B = B && M;8-Bit Accumulator and Memory Instructions
AND;$c4;196;ANDB;REG_B;;BYTE;;IMMEDIATE;-;a;a;0;-;B = B && M;8-Bit Accumulator and Memory Instructions
AND;$e4;228;ANDB;REG_B;;BYTE;;INDEXED;-;a;a;0;-;B = B && M;8-Bit Accumulator and Memory Instructions
AND;$1c;28;ANDCC;REG_CC;;BYTE;;IMMEDIATE;d;d;d;d;d;C = CC && IMM;Miscellaneous Instructions
ASR;$07;7;ASR;;yes;BYTE;BYTE;DIRECT;u;a;a;-;s;M = Arithmetic shift M right;8-Bit Accumulator and Memory Instructions
ASR;$77;119;ASR;;yes;BYTE;BYTE;EXTENDED;u;a;a;-;s;M = Arithmetic shift M right;8-Bit Accumulator and Memory Instructions
ASR;$67;103;ASR;;yes;BYTE;BYTE;INDEXED;u;a;a;-;s;M = Arithmetic shift M right;8-Bit Accumulator and Memory Instructions
ASR;$47;71;ASRA;REG_A;;;;INHERENT;u;a;a;-;s;A = Arithmetic shift A right;8-Bit Accumulator and Memory Instructions
ASR;$57;87;ASRB;REG_B;;;;INHERENT;u;a;a;-;s;B = Arithmetic shift B right;8-Bit Accumulator and Memory Instructions
BHS;$24;36;BCC;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BEQ;$27;39;BEQ;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BGE;$2c;44;BGE;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
BGT;$2e;46;BGT;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
BHI;$22;34;BHI;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BIT;$95;149;BITA;REG_A;;BYTE;;DIRECT;-;a;a;0;-;Bit Test A (M&&A);8-Bit Accumulator and Memory Instructions
BIT;$b5;181;BITA;REG_A;;BYTE;;EXTENDED;-;a;a;0;-;Bit Test A (M&&A);8-Bit Accumulator and Memory Instructions
BIT;$85;133;BITA;REG_A;;BYTE;;IMMEDIATE;-;a;a;0;-;Bit Test A (M&&A);8-Bit Accumulator and Memory Instructions
BIT;$a5;165;BITA;REG_A;;BYTE;;INDEXED;-;a;a;0;-;Bit Test A (M&&A);8-Bit Accumulator and Memory Instructions
BIT;$d5;213;BITB;REG_B;;BYTE;;DIRECT;-;a;a;0;-;Bit Test B (M&&B);8-Bit Accumulator and Memory Instructions
BIT;$f5;245;BITB;REG_B;;BYTE;;EXTENDED;-;a;a;0;-;Bit Test B (M&&B);8-Bit Accumulator and Memory Instructions
BIT;$c5;197;BITB;REG_B;;BYTE;;IMMEDIATE;-;a;a;0;-;Bit Test B (M&&B);8-Bit Accumulator and Memory Instructions
BIT;$e5;229;BITB;REG_B;;BYTE;;INDEXED;-;a;a;0;-;Bit Test B (M&&B);8-Bit Accumulator and Memory Instructions
BLE;$2f;47;BLE;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
BLO;$25;37;BLO;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BLS;$23;35;BLS;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BLT;$2d;45;BLT;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
BMI;$2b;43;BMI;;yes;;;RELATIVE;-;-;-;-;-;;Simple Branch Instructions
BNE;$26;38;BNE;;yes;;;RELATIVE;-;-;-;-;-;;Unsigned Branch Instructions
BPL;$2a;42;BPL;;yes;;;RELATIVE;-;-;-;-;-;;Simple Branch Instructions
BRA;$20;32;BRA;;yes;;;RELATIVE;-;-;-;-;-;;other Branch Instructions
BRN;$21;33;BRN;;yes;;;RELATIVE;-;-;-;-;-;;other Branch Instructions
BSR;$8d;141;BSR;;yes;;;RELATIVE;-;-;-;-;-;;other Branch Instructions
BVC;$28;40;BVC;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
BVS;$29;41;BVS;;yes;;;RELATIVE;-;-;-;-;-;;Signed Branch Instructions
CLR;$0f;15;CLR;;yes;;BYTE;DIRECT;-;0;1;0;0;M = 0;8-Bit Accumulator and Memory Instructions
CLR;$7f;127;CLR;;yes;;BYTE;EXTENDED;-;0;1;0;0;M = 0;8-Bit Accumulator and Memory Instructions
CLR;$6f;111;CLR;;yes;;BYTE;INDEXED;-;0;1;0;0;M = 0;8-Bit Accumulator and Memory Instructions
CLR;$4f;79;CLRA;REG_A;;;;INHERENT;-;0;1;0;0;A = 0;8-Bit Accumulator and Memory Instructions
CLR;$5f;95;CLRB;REG_B;;;;INHERENT;-;0;1;0;0;B = 0;8-Bit Accumulator and Memory Instructions
CMP;$91;145;CMPA;REG_A;;BYTE;;DIRECT;u;a;a;a;a;Compare M from A;8-Bit Accumulator and Memory Instructions
CMP;$b1;177;CMPA;REG_A;;BYTE;;EXTENDED;u;a;a;a;a;Compare M from A;8-Bit Accumulator and Memory Instructions
CMP;$81;129;CMPA;REG_A;;BYTE;;IMMEDIATE;u;a;a;a;a;Compare M from A;8-Bit Accumulator and Memory Instructions
CMP;$a1;161;CMPA;REG_A;;BYTE;;INDEXED;u;a;a;a;a;Compare M from A;8-Bit Accumulator and Memory Instructions
CMP;$d1;209;CMPB;REG_B;;BYTE;;DIRECT;u;a;a;a;a;Compare M from B;8-Bit Accumulator and Memory Instructions
CMP;$f1;241;CMPB;REG_B;;BYTE;;EXTENDED;u;a;a;a;a;Compare M from B;8-Bit Accumulator and Memory Instructions
CMP;$c1;193;CMPB;REG_B;;BYTE;;IMMEDIATE;u;a;a;a;a;Compare M from B;8-Bit Accumulator and Memory Instructions
CMP;$e1;225;CMPB;REG_B;;BYTE;;INDEXED;u;a;a;a;a;Compare M from B;8-Bit Accumulator and Memory Instructions
CMP;$1093;4243;CMPD;REG_D;;WORD;;DIRECT_WORD;-;a;a;a;a;Compare M:M+1 from D;16-Bit Accumulator and Memory Instructions Instruction
CMP;$10b3;4275;CMPD;REG_D;;WORD;;EXTENDED_WORD;-;a;a;a;a;Compare M:M+1 from D;16-Bit Accumulator and Memory Instructions Instruction
CMP;$1083;4227;CMPD;REG_D;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;Compare M:M+1 from D;16-Bit Accumulator and Memory Instructions Instruction
CMP;$10a3;4259;CMPD;REG_D;;WORD;;INDEXED_WORD;-;a;a;a;a;Compare M:M+1 from D;16-Bit Accumulator and Memory Instructions Instruction
CMP;$119c;4508;CMPS;REG_S;;WORD;;DIRECT_WORD;-;a;a;a;a;Compare M:M+1 from S;Index/Stack Pointer Instructions
CMP;$11bc;4540;CMPS;REG_S;;WORD;;EXTENDED_WORD;-;a;a;a;a;Compare M:M+1 from S;Index/Stack Pointer Instructions
CMP;$118c;4492;CMPS;REG_S;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;Compare M:M+1 from S;Index/Stack Pointer Instructions
CMP;$11ac;4524;CMPS;REG_S;;WORD;;INDEXED_WORD;-;a;a;a;a;Compare M:M+1 from S;Index/Stack Pointer Instructions
CMP;$1193;4499;CMPU;REG_U;;WORD;;DIRECT_WORD;-;a;a;a;a;Compare M:M+1 from U;Index/Stack Pointer Instructions
CMP;$11b3;4531;CMPU;REG_U;;WORD;;EXTENDED_WORD;-;a;a;a;a;Compare M:M+1 from U;Index/Stack Pointer Instructions
CMP;$1183;4483;CMPU;REG_U;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;Compare M:M+1 from U;Index/Stack Pointer Instructions
CMP;$11a3;4515;CMPU;REG_U;;WORD;;INDEXED_WORD;-;a;a;a;a;Compare M:M+1 from U;Index/Stack Pointer Instructions
CMP;$9c;156;CMPX;REG_X;;WORD;;DIRECT_WORD;-;a;a;a;a;Compare M:M+1 from X;Index/Stack Pointer Instructions
CMP;$bc;188;CMPX;REG_X;;WORD;;EXTENDED_WORD;-;a;a;a;a;Compare M:M+1 from X;Index/Stack Pointer Instructions
CMP;$8c;140;CMPX;REG_X;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;Compare M:M+1 from X;Index/Stack Pointer Instructions
CMP;$ac;172;CMPX;REG_X;;WORD;;INDEXED_WORD;-;a;a;a;a;Compare M:M+1 from X;Index/Stack Pointer Instructions
CMP;$109c;4252;CMPY;REG_Y;;WORD;;DIRECT_WORD;-;a;a;a;a;Compare M:M+1 from Y;Index/Stack Pointer Instructions
CMP;$10bc;4284;CMPY;REG_Y;;WORD;;EXTENDED_WORD;-;a;a;a;a;Compare M:M+1 from Y;Index/Stack Pointer Instructions
CMP;$108c;4236;CMPY;REG_Y;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;Compare M:M+1 from Y;Index/Stack Pointer Instructions
CMP;$10ac;4268;CMPY;REG_Y;;WORD;;INDEXED_WORD;-;a;a;a;a;Compare M:M+1 from Y;Index/Stack Pointer Instructions
COM;$03;3;COM;;yes;BYTE;BYTE;DIRECT;-;a;a;0;1;M = complement(M);8-Bit Accumulator and Memory Instructions
COM;$73;115;COM;;yes;BYTE;BYTE;EXTENDED;-;a;a;0;1;M = complement(M);8-Bit Accumulator and Memory Instructions
COM;$63;99;COM;;yes;BYTE;BYTE;INDEXED;-;a;a;0;1;M = complement(M);8-Bit Accumulator and Memory Instructions
COM;$43;67;COMA;REG_A;;;;INHERENT;-;a;a;0;1;A = complement(A);8-Bit Accumulator and Memory Instructions
COM;$53;83;COMB;REG_B;;;;INHERENT;-;a;a;0;1;B = complement(B);8-Bit Accumulator and Memory Instructions
CWAI;$3c;60;CWAI;;;BYTE;;IMMEDIATE;d;d;d;d;d;"CC = CC ^ IMM; (Wait for Interrupt)";Miscellaneous Instructions
DAA;$19;25;DAA;;;;;INHERENT;-;a;a;0;a;Decimal Adjust A;8-Bit Accumulator and Memory Instructions
DEC;$0a;10;DEC;;yes;BYTE;BYTE;DIRECT;-;a;a;a;-;M = M - 1;8-Bit Accumulator and Memory Instructions
DEC;$7a;122;DEC;;yes;BYTE;BYTE;EXTENDED;-;a;a;a;-;M = M - 1;8-Bit Accumulator and Memory Instructions
DEC;$6a;106;DEC;;yes;BYTE;BYTE;INDEXED;-;a;a;a;-;M = M - 1;8-Bit Accumulator and Memory Instructions
DEC;$4a;74;DECA;REG_A;;;;INHERENT;-;a;a;a;-;A = A - 1;8-Bit Accumulator and Memory Instructions
DEC;$5a;90;DECB;REG_B;;;;INHERENT;-;a;a;a;-;B = B - 1;8-Bit Accumulator and Memory Instructions
EOR;$98;152;EORA;REG_A;;BYTE;;DIRECT;-;a;a;0;-;A = A XOR M;8-Bit Accumulator and Memory Instructions
EOR;$b8;184;EORA;REG_A;;BYTE;;EXTENDED;-;a;a;0;-;A = A XOR M;8-Bit Accumulator and Memory Instructions
EOR;$88;136;EORA;REG_A;;BYTE;;IMMEDIATE;-;a;a;0;-;A = A XOR M;8-Bit Accumulator and Memory Instructions
EOR;$a8;168;EORA;REG_A;;BYTE;;INDEXED;-;a;a;0;-;A = A XOR M;8-Bit Accumulator and Memory Instructions
EOR;$d8;216;EORB;REG_B;;BYTE;;DIRECT;-;a;a;0;-;B = M XOR B;8-Bit Accumulator and Memory Instructions
EOR;$f8;248;EORB;REG_B;;BYTE;;EXTENDED;-;a;a;0;-;B = M XOR B;8-Bit Accumulator and Memory Instructions
EOR;$c8;200;EORB;REG_B;;BYTE;;IMMEDIATE;-;a;a;0;-;B = M XOR B;8-Bit Accumulator and Memory Instructions
EOR;$e8;232;EORB;REG_B;;BYTE;;INDEXED;-;a;a;0;-;B = M XOR B;8-Bit Accumulator and Memory Instructions
EXG;$1e;30;EXG;;;;;;c;c;c;c;c;exchange R1,R2;8-Bit Accumulator and Memory Instructions
INC;$0c;12;INC;;yes;BYTE;BYTE;DIRECT;-;a;a;a;-;M = M + 1;8-Bit Accumulator and Memory Instructions
INC;$7c;124;INC;;yes;BYTE;BYTE;EXTENDED;-;a;a;a;-;M = M + 1;8-Bit Accumulator and Memory Instructions
INC;$6c;108;INC;;yes;BYTE;BYTE;INDEXED;-;a;a;a;-;M = M + 1;8-Bit Accumulator and Memory Instructions
INC;$4c;76;INCA;REG_A;;;;INHERENT;-;a;a;a;-;A = A + 1;8-Bit Accumulator and Memory Instructions
INC;$5c;92;INCB;REG_B;;;;INHERENT;-;a;a;a;-;B = B + 1;8-Bit Accumulator and Memory Instructions
JMP;$0e;14;JMP;;yes;;;DIRECT;-;-;-;-;-;pc = EA;Miscellaneous Instructions
JMP;$7e;126;JMP;;yes;;;EXTENDED;-;-;-;-;-;pc = EA;Miscellaneous Instructions
JMP;$6e;110;JMP;;yes;;;INDEXED;-;-;-;-;-;pc = EA;Miscellaneous Instructions
JSR;$9d;157;JSR;;yes;;;DIRECT;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
JSR;$bd;189;JSR;;yes;;;EXTENDED;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
JSR;$ad;173;JSR;;yes;;;INDEXED;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
BHS;$1024;4132;LBCC;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLO;$1025;4133;LBCS;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BEQ;$1027;4135;LBEQ;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BGE;$102c;4140;LBGE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BGT;$102e;4142;LBGT;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BHI;$1022;4130;LBHI;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLE;$102f;4143;LBLE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BLS;$1023;4131;LBLS;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLT;$102d;4141;LBLT;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BMI;$102b;4139;LBMI;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Simple Branch Instructions
BNE;$1026;4134;LBNE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
